Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
1991,Public spending on active labour market policies,CHE,Switzerland,Training,Share of GDP,0.01
2015,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0.01
2016,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0.01
2014,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0.01
2020,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0
2022,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0
2021,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0
2004,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0.01
2005,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0.01
2006,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0.01
2001,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0.01
2019,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0
2007,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0.01
2008,Public spending on active labour market policies,USA,United States,Placement and related services,Share of GDP,0.01
